Ref,Val,Package,PosX,PosY,Rot,Side
"R271","10K","RES_0402",126.370000,-88.010000,90.000000,top
"R272","10K","RES_0402",126.370000,-85.810000,-90.000000,top
"R273","470R","RES_0402",124.570000,-90.810000,90.000000,top
"R275","2K2","RES_0402",72.770000,-101.960000,0.000000,top
"R276","22R","RES_0402",109.070000,-93.460000,90.000000,top
"R277","22R","RES_0402",101.770000,-97.810000,90.000000,top
"R279","10K","RES_0402",107.360001,-95.170001,-90.000000,top
"R281","22R","RES_0402",125.570000,-74.585000,180.000000,top
"R283","470R","RES_0402",226.565000,-95.810000,0.000000,top
"R284","470R","RES_0402",226.570000,-97.415000,0.000000,top
"R285","470R","RES_0402",226.570000,-99.015000,0.000000,top
"R286","470R","RES_0402",174.970000,-137.710000,0.000000,top
"R287","470R","RES_0402",226.565000,-100.610000,0.000000,top
"R288","22R","RES_0402",185.670000,-134.070000,0.000000,top
"R289","10K","RES_0402",181.170000,-133.370000,90.000000,top
"R290","0R","RES_0402",119.564999,-88.205000,-90.000000,top
"R305","0R","RES_1206",134.770000,-92.610000,-90.000000,top
"R306","0R","RES_1206",131.970000,-92.610000,-90.000000,top
"R307","22R","RES_0402",135.970000,-76.585000,0.000000,top
"R308","22R","RES_0402",135.970000,-75.185000,0.000000,top
"R309","22R","RES_0402",125.570000,-81.010000,180.000000,top
"R310","22R","RES_0402",125.570000,-82.410000,180.000000,top
"R311","22R","RES_0402",125.570000,-83.810000,180.000000,top
"R312","22R","RES_0402",135.970000,-84.410000,0.000000,top
"R313","22R","RES_0402",135.970000,-83.010000,0.000000,top
"R314","22R","RES_0402",135.970000,-81.610000,0.000000,top
"R315","0R010","RES_SENSE_1206",85.570000,-121.710000,90.000000,top
"S1","KSR233G LFG","Y35A23310FPLFG",228.000000,-92.810000,180.000000,top
"S2","KSR233G LFG","Y35A23310FPLFG",200.470000,-134.710000,90.000000,top
"U1","PIC32AK1216GC41064-I/M7","64-VQFN-EP(9x9mm)",193.770000,-97.110000,0.000000,top
"U2","ECS-2016MVQ-120-BP-TR","4-SMD_2mmx1_6mm",105.945000,-97.835000,180.000000,top
"U3","SE555DR","SOIC-8-150mil",97.120000,-131.460000,180.000000,top
"U4","AP22913W6-7","SOT-23-6",160.570000,-60.010000,180.000000,top
"U6","SST25VF512A","SOIC-8-150mil",114.170000,-77.410000,-90.000000,top
"U7","UPD720202K8-711-BAA-A","48-VFQFN-EP",95.844874,-76.710000,45.000000,top
"U8","AP2192AFGEG-7","U-DFN3030-8",79.565000,-72.785000,180.000000,top
"U9","TPS54527DDAR","SO-8-150mil-EP",111.470000,-134.060000,0.000000,top
"U10","TPS54527DDAR","SO-8-150mil-EP",109.970000,-121.860000,0.000000,top
"U11","TPS54527DDAR","SO-8-150mil-EP",107.770000,-109.610000,0.000000,top
"U12","TPS7A7001DDAR","SO-8-150mil-EP",106.270000,-85.335000,90.000000,top
"U13","INA180A2IDBVR","SOT-23-5",127.620000,-137.210000,-90.000000,top
"U14","INA180A2IDBVR","SOT-23-5",126.170000,-125.210000,-90.000000,top
"U15","SN65DSI84ZXHR","NFBGA-64",174.070000,-87.610000,-90.000000,top
"U16","SN74LVC1G125DBVR","SOT-23-5",171.970000,-79.460000,-90.000000,top
"U18","AP22913W6-7","SOT-23-6",140.570000,-58.110000,-90.000000,top
"U19","SN74LVC1G125DBVR","SOT-23-5",223.370000,-75.110000,-90.000000,top
"U20","STWD100NYWY3F","SOT-23-5",211.370000,-104.010000,90.000000,top
"U21","MCP7940NT-I/MS","MSOP-8",220.370000,-107.810000,180.000000,top
"U22","FSUSB42UMX","10-UMLP",181.670000,-61.260000,-90.000000,top
"U23","AP22913W6-7","SOT-23-6",158.170000,-51.610000,-90.000000,top
"U24","MAX16928CGUP/V+","TSSOP-20-EP",150.895000,-79.060000,90.000000,top
"U25","TPS79901DRVR","WSON-6-EP",171.945000,-101.760000,0.000000,top
"U26","TPS61169DCKR","SC-70-5",141.370000,-97.460000,0.000000,top
"U27","AP22913W6-7","SOT-23-6",157.870000,-91.085000,90.000000,top
"U28","INA180A2IDBVR","SOT-23-5",123.770000,-113.210000,-90.000000,top
"U30","STM6710DWB6F","SOT-23-6",125.920000,-98.210000,0.000000,top
"U31","SN74LVC1G125DBVR","SOT-23-5",123.570000,-93.810000,0.000000,top
"U32","SN74HCS365QPWRQ1","TSSOP-16-5.8mm",130.770000,-75.585000,0.000000,top
"U33","SGTL5000XNBA3R2","32-HPQFN",100.975000,-92.865000,-90.000000,top
"U35","SN74HCS365QPWRQ1","TSSOP-16-5.8mm",130.770000,-82.010000,0.000000,top
"U36","INA180A2IDBVR","SOT-23-5",88.670000,-121.710000,0.000000,top
"U37","SN74LVC1G14DBVR","SOT-23-5",220.770000,-98.210000,-90.000000,top
"U38","ASAK-32.768KHZ-LRS-T","4-SMD_2mmx1_6mm",182.970000,-133.370000,-90.000000,top
"X1","CMM-3729AT-42308-TR","CMM-3729AT-42308-TR",69.450000,-102.061000,-90.000000,top
"Y1","24MHz","4-SMD_2mmx1_6mm",105.945000,-73.685000,0.000000,top
"Y2","32.768kHz","2-SMD_3_2mmx1_5mm",220.770000,-101.210000,0.000000,top
"Y3","20MHz","4-SMD_2mmx1_6mm",207.270000,-98.310000,-135.000000,top
